Title,Description,Link,Image_Filename
"【相性診断】あなたに合うのは『ステファニア』かも？ #観葉植物","ジャガイモのような塊根から丸い葉を出す。 初心者向けの育てやすさレベル: 2。 #塊根植物 #ユニーク #かわいい #RuruPlantMatch","https://plantmatch.one/?plant=Stephania","pin_0_ステファニア.png"
"【相性診断】あなたに合うのは『アデニウム』かも？ #観葉植物","「砂漠のバラ」と呼ばれる美しい花を咲かせる塊根植物。 初心者向けの育てやすさレベル: 2。 #塊根植物 #花が咲く #日光好き #RuruPlantMatch","https://plantmatch.one/?plant=Adenium%20obesum","pin_1_アデニウム.png"
"【相性診断】あなたに合うのは『パキポディウム』かも？ #観葉植物","トゲのある太い幹が特徴。ユニークな姿が人気。 初心者向けの育てやすさレベル: 3。 #塊根植物 #トゲ #日光好き #RuruPlantMatch","https://plantmatch.one/?plant=Pachypodium","pin_2_パキポディウム.png"
"【相性診断】あなたに合うのは『エバーフレッシュ』かも？ #観葉植物","夜になると葉を閉じる。涼しげな姿がインテリアに最適。 初心者向けの育てやすさレベル: 2。 #動きがある #涼しげ #人気 #RuruPlantMatch","https://plantmatch.one/?plant=Cojoba%20arborea%20var.%20angustifolia","pin_3_エバーフレッシュ.png"
"【相性診断】あなたに合うのは『フランスゴムの木』かも？ #観葉植物","小ぶりな葉と曲がった幹がおしゃれ。育てやすい。 初心者向けの育てやすさレベル: 1。 #おしゃれ #曲がり #丈夫 #RuruPlantMatch","https://plantmatch.one/?plant=Ficus%20rubiginosa","pin_4_フランスゴムの木.png"
"【相性診断】あなたに合うのは『シェフレラ（ホンコンカポック）』かも？ #観葉植物","手のひらのような葉が特徴。非常に丈夫で寒さにも強い。 初心者向けの育てやすさレベル: 1。 #丈夫 #定番 #耐寒性 #RuruPlantMatch","https://plantmatch.one/?plant=Schefflera%20arboricola","pin_5_シェフレラ（ホンコンカポック）.png"
"【相性診断】あなたに合うのは『ソフォラ・リトルベイビー』かも？ #観葉植物","ジグザグの枝と極小の葉がメルヘンチック。 初心者向けの育てやすさレベル: 3。 #かわいい #ユニーク #繊細 #RuruPlantMatch","https://plantmatch.one/?plant=Sophora%20prostrata","pin_6_ソフォラ・リトルベイビー.png"
"【相性診断】あなたに合うのは『アジアンタム』かも？ #観葉植物","レースのような繊細な葉が美しいシダ植物。乾燥に弱い。 初心者向けの育てやすさレベル: 3。 #繊細 #涼しげ #水好き #RuruPlantMatch","https://plantmatch.one/?plant=Adiantum","pin_7_アジアンタム.png"
"【相性診断】あなたに合うのは『ピレア・ペペロミオイデス』かも？ #観葉植物","まん丸の葉がポップで可愛い。「パンケーキプランツ」とも。 初心者向けの育てやすさレベル: 1。 #かわいい #丸い葉 #人気 #RuruPlantMatch","https://plantmatch.one/?plant=Pilea%20peperomioides","pin_8_ピレア・ペペロミオイデス.png"
"【相性診断】あなたに合うのは『カラテア・オルビフォリア』かも？ #観葉植物","大きな丸い葉に入ったシルバーの縞模様が美しい。 初心者向けの育てやすさレベル: 2。 #模様 #耐陰性 #大型葉 #RuruPlantMatch","https://plantmatch.one/?plant=Calathea%20orbifolia","pin_9_カラテア・オルビフォリア.png"
"【相性診断】あなたに合うのは『ヒメモンステラ』かも？ #観葉植物","モンステラより小ぶりで、日本の住宅でも扱いやすい。 初心者向けの育てやすさレベル: 1。 #モンステラ #小ぶり #半つる性 #RuruPlantMatch","https://plantmatch.one/?plant=Rhaphidophora%20tetrasperma","pin_10_ヒメモンステラ.png"
"【相性診断】あなたに合うのは『ストレリチア・オーガスタ』かも？ #観葉植物","バナナのような巨大な葉がトロピカルな雰囲気。 初心者向けの育てやすさレベル: 1。 #南国 #大型 #リゾート #RuruPlantMatch","https://plantmatch.one/?plant=Strelitzia%20nicolai","pin_11_ストレリチア・オーガスタ.png"
"【相性診断】あなたに合うのは『ドラセナ・コンシンネ』かも？ #観葉植物","細長い葉とスタイリッシュな樹形がモダン。 初心者向けの育てやすさレベル: 1。 #モダン #スタイリッシュ #定番 #RuruPlantMatch","https://plantmatch.one/?plant=Dracaena%20marginata","pin_12_ドラセナ・コンシンネ.png"
"【相性診断】あなたに合うのは『ユッカ（青年の木）』かも？ #観葉植物","力強い見た目で、成長・発展の象徴とされる。 初心者向けの育てやすさレベル: 1。 #丈夫 #シンボルツリー #日光好き #RuruPlantMatch","https://plantmatch.one/?plant=Yucca%20elephantipes","pin_13_ユッカ（青年の木）.png"
"【相性診断】あなたに合うのは『ポニーテール（トックリラン）』かも？ #観葉植物","根元が膨らんだユニークな形。乾燥に非常に強い。 初心者向けの育てやすさレベル: 1。 #ユニーク #乾燥に強い #長寿 #RuruPlantMatch","https://plantmatch.one/?plant=Beaucarnea%20recurvata","pin_14_ポニーテール（トックリラン）.png"
"【相性診断】あなたに合うのは『サボテン（金鯱）』かも？ #観葉植物","「サボテンの王様」。丸くて金色のトゲが美しい。 初心者向けの育てやすさレベル: 1。 #サボテン #トゲ #長寿 #RuruPlantMatch","https://plantmatch.one/?plant=Echinocactus%20grusonii","pin_15_サボテン（金鯱）.png"
"【相性診断】あなたに合うのは『ハートホヤ（カーリー）』かも？ #観葉植物","ハート型の葉が特徴。バレンタインの贈り物にも。 初心者向けの育てやすさレベル: 1。 #ハート #多肉質 #かわいい #RuruPlantMatch","https://plantmatch.one/?plant=Hoya%20kerrii","pin_16_ハートホヤ（カーリー）.png"
"【相性診断】あなたに合うのは『リプサリス』かも？ #観葉植物","森林サボテン。細い茎が垂れ下がる姿がおしゃれ。 初心者向けの育てやすさレベル: 1。 #ハンギング #サボテン #耐陰性 #RuruPlantMatch","https://plantmatch.one/?plant=Rhipsalis","pin_17_リプサリス.png"
"【相性診断】あなたに合うのは『ネペンテス（ウツボカズラ）』かも？ #観葉植物","独特な袋を持つ食虫植物。ハンギングに最適。 初心者向けの育てやすさレベル: 3。 #食虫植物 #ユニーク #ハンギング #RuruPlantMatch","https://plantmatch.one/?plant=Nepenthes","pin_18_ネペンテス（ウツボカズラ）.png"
"【相性診断】あなたに合うのは『ハエトリソウ』かも？ #観葉植物","二枚貝のような葉で虫を捕らえる食虫植物。 初心者向けの育てやすさレベル: 3。 #食虫植物 #ユニーク #観察 #RuruPlantMatch","https://plantmatch.one/?plant=Dionaea%20muscipula","pin_19_ハエトリソウ.png"
